phase,burst_words,test_words,outcome,summary,state,fail_reason,mem_summary,last_read,last_status,fail_addr,fail_expected,fail_actual,retry_summary,retry_data1,retry_data2,ctrl_summary,handshake,latest_rd
burst,32,32,FAIL,51250072,14,3,73741,4294967295,12586155,0,0,4294967295,50529379,4294967295,4294967295,3797352736,1200816184,4294967295
burst,48,48,FAIL,51250072,14,3,77837,4294967295,25169067,0,0,4294967295,50529379,4294967295,4294967295,3797352752,1200816184,4294967295
burst,64,64,FAIL,51250072,14,3,81933,4294967295,25169067,0,0,4294967295,50529379,4294967295,4294967295,3797352768,1200816184,4294967295
burst,96,96,FAIL,51250072,14,3,90125,4294967295,25169067,0,0,4294967295,50529379,4294967295,4294967295,3797352800,1200816184,4294967295
burst,128,128,FAIL,51250072,14,3,98317,4294967295,50334891,0,0,4294967295,50529379,4294967295,4294967295,3763798400,1200816184,4294967295
burst,192,192,FAIL,51250072,14,3,114701,4294967295,50334891,0,0,4294967295,50529379,4294967295,4294967295,3797352896,1200816184,4294967295
burst,255,255,FAIL,51250072,14,3,130829,4294967295,100666539,0,0,4294967295,50529379,4294967295,4294967295,3797352959,1192427576,4294967295
burst,256,256,FAIL,51250072,14,3,65549,4294967295,100666539,0,0,4294967295,50529379,4294967295,4294967295,3797352704,1200816184,4294967295
